ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SBGL,RJ0001,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM,RIO DE JANEIRO,RJ,22° 48' 36'' S,43° 15' 2'' W,9,VFR Diurno/Noturno e IFR Diurno/Noturno, 10/28,4000,45,PCN 78/R/A/W/T,Concreto,,,,,,,,,,,,,,,,,,,,,,,,
SBGM,RO0006,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,RO,10° 47' 18'' S,65° 16' 54'' W,146,VFR Diurno/Noturno, 17/35,1795,45,PCN 30/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBGO,GO0001,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,GO,16° 37' 57'' S,49° 13' 16'' W,747,VFR Diurno/Noturno e IFR Diurno/Noturno, 14/32,2286,45,PCN 67/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBGR,SP0002,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GUARULHOS,SP,23° 26' 8'' S,46° 28' 23'' W,750,VFR Diurno/Noturno e IFR Diurno/Noturno, 9L/27R,3700,45,PCN 77/F/B/W/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSGG,PR0009,TANCREDO THOMAS DE FARIA,GUARAPUAVA,PR,25° 23' 18'' S,51° 31' 25'' W,1065,VFR Diurno/Noturno e IFR Diurno/Noturno, 08/26,1365,30,PCN 23/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBGV,MG0032,CORONEL ALTINO MACHADO,GOVERNADOR VALADARES,MG,18° 53' 49'' S,41° 59' 10'' W,171,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,1701,30,PCN 31/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBGW,SP0076,GUARATINGUETÁ,GUARATINGUETÁ,SP,22° 47' 30'' S,45° 12' 16'' W,537,VFR Diurno/Noturno e IFR Diurno/Noturno, 02/20,1551,30,PCN 15/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBHT,PA0003,ALTAMIRA,ALTAMIRA,PA,3° 15' 3'' S,52° 15' 8'' W,112,VFR Diurno/Noturno e IFR Diurno/Noturno, 07/25,2003,30,PCN 36/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBIC,AM0012,ITACOATIARA,ITACOATIARA,AM,3° 7' 35'' S,58° 28' 54'' W,43,VFR Diurno e IFR Diurno, 14/32,1515,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SBIH,PA0010,ITAITUBA,ITAITUBA,PA,4° 14' 32'' S,56° 0' 3'' W,33,VFR Diurno/Noturno e IFR Diurno/Noturno, 05/23,1605,30,PCN 26/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
