ICAO,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,,,,,,,,,,,,,,,,,,,,,,,,
SNPI,BA0021,PIATÃ,PIATÃ,BA,13° 9' 56'' S,41° 46' 19'' W,1267,VFR Diurno, 01/19,1350,25,PCN 10/F/C/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNPJ,MG0042,PATROCÍNIO,PATROCÍNIO,MG,18° 54' 33'' S,46° 58' 58'' W,985,VFR Diurno, 05/23,1200,30,PCN 14/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNPO,MG0043,TENENTE XAVIER,POMPÉU,MG,19° 12' 12'' S,45° 1' 24'' W,705,VFR Diurno, 15/33,1200,70,"5000 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNPQ,PE0010,PESQUEIRA,PESQUEIRA,PE,8° 22' 27'' S,36° 38' 16'' W,630,VFR Diurno, 10/28,1000,20,PCN 8/F/C/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SBCZ,AC0002,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,7° 35' 58'' S,72° 46' 10'' W,194,VFR Diurno/Noturno e IFR Diurno/Noturno, 10/28,2400,45,PCN 32/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNPX,MG0028,PIRAPORA,PIRAPORA,MG,17° 19' 1'' S,44° 51' 37'' W,551,VFR Diurno, 10/28,1480,30,"5670 kg / 0,67 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNPY,MG0013,SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,MG,20° 56' 54'' S,46° 58' 59'' W,950,VFR Diurno, 05/23,1600,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNQD,PB0006,SOUSA,SOUSA,PB,6° 47' 8'' S,38° 14' 2'' W,272,VFR Diurno, 15/33,1075,30,PCN 13/F/A/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNQG,PI0003,CANGAPARA,FLORIANO,PI,6° 50' 45'' S,43° 4' 39'' W,210,VFR Diurno, 16/34,1800,30,PCN 6/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNQU,BA0032,MUCUGÊ,MUCUGÊ,BA,13° 1' 54'' S,41° 26' 40'' W,1056,VFR Diurno, 07/25,1300,19,PCN 6/F/C/Z/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNQV,MG0044,CURVELO,CURVELO,MG,18° 44' 58'' S,44° 27' 29'' W,672,VFR Diurno, 09/27,1200,23,"5000 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNQX,CE0010,QUIXADÁ,QUIXADÁ,CE,4° 58' 44'' S,38° 59' 16'' W,225,VFR Diurno, 14/32,1200,30,PCN 17/F/A/X/T,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNRD,BA0048,PRADO,PRADO,BA,17° 17' 49'' S,39° 16' 19'' W,27,VFR Diurno, 11/29,1081,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNRM,BA0022,REMANSO,REMANSO,BA,9° 34' 48'' S,42° 6' 57'' W,405,VFR Diurno, 11/29,1350,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNRP,MG0066,RIO PARANAÍBA,RIO PARANAÍBA,MG,19° 12' 45'' S,46° 14' 26'' W,1145,VFR Diurno, 16/34,1000,22,"4000 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNRU,PE0004,CARUARU,CARUARU,PE,8° 17' 4'' S,36° 0' 39'' W,576,VFR Diurno, 13/31,1800,30,PCN 30/F/A/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNRX,MA0009,RIACHÃO,RIACHÃO,MA,7° 21' 1'' S,46° 38' 2'' W,400,VFR Diurno, 12/30,1200,40,PCN 6/F/C/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNRZ,MG0049,OLIVEIRA,OLIVEIRA,MG,20° 42' 52'' S,44° 51' 55'' W,982,VFR Diurno/Noturno, 03/21,1180,18,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNSE,BA0056,SENTO SÉ,SENTO SÉ,BA,9° 45' 27'' S,41° 51' 18'' W,398,VFR Diurno, 15/33,1100,25,PCN 10/F/B/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNSG,PE0008,SALGUEIRO,SALGUEIRO,PE,8° 2' 48'' S,39° 8' 2'' W,469,VFR Diurno, 17/35,1300,30,PCN 6/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNSI,MG0076,SANTA MARIA DO SUAÇUÍ,SANTA MARIA DO SUAÇUÍ,MG,18° 11' 55'' S,42° 27' 58'' W,480,VFR Diurno, 03/21,800,35,"2500 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNSM,PA0029,SALINÓPOLIS,SALINÓPOLIS,PA,0° 41' 49'' S,47° 20' 16'' W,27,VFR Diurno, 09/27,1000,25,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNSS,MG0029,SALINAS,SALINAS,MG,16° 12' 30'' S,42° 19' 19'' W,763,VFR Diurno, 18/36,1480,30,PCN 8/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNST,BA0049,SOUTO SOARES,SOUTO SOARES,BA,12° 5' 50'' S,41° 38' 26'' W,816,VFR Diurno, 17/35,1200,20,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNSW,PA0025,SOURE,SOURE,PA,0° 41' 52'' S,48° 31' 10'' W,13,VFR Diurno, 06/24,1100,30,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNTF,BA0016,TEIXEIRA DE FREITAS,TEIXEIRA DE FREITAS,BA,17° 31' 28'' S,39° 40' 6'' W,105,VFR Diurno/Noturno, 11/29,1460,30,PCN 31/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNTI,PA0016,ÓBIDOS,ÓBIDOS,PA,1° 52' 5'' S,55° 30' 52'' W,100,VFR Diurno, 10/28,1520,30,PCN 9/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNTM,MG0068,TURMALINA,TURMALINA,MG,17° 14' 2'' S,42° 44' 2'' W,882,VFR Diurno, 01/19,1000,30,"2500 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SNTO,MG0048,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,17° 53' 27'' S,41° 30' 54'' W,480,VFR Diurno/Noturno, 11/29,1190,23,PCN 10/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNTQ,BA0053,BURITIRAMA,BURITIRAMA,BA,10° 43' 18'' S,43° 39' 13'' W,499,VFR Diurno, 11/29,1102,29,"5700 kg / 0,5 MPa",Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SNTR,BA0036,PIRITIBA,PIRITIBA,BA,11° 44' 17'' S,40° 34' 11'' W,585,VFR Diurno, 10/28,1227,25,PCN 8/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNTS,PB0005,PATOS,PATOS,PB,7° 2' 16'' S,37° 15' 27'' W,265,VFR Diurno/Noturno, 12/30,1600,30,PCN 6/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNTY,BA0051,CORRENTINA,CORRENTINA,BA,13° 22' 48'' S,44° 37' 19'' W,667,VFR Diurno, 12/30,1140,25,PCN 8/F/C/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SNUB,MG0058,UBÁ,UBÁ,MG,21° 7' 21'' S,42° 52' 56'' W,340,VFR Diurno, 16/34,1080,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNUC,RN0003,AÇU,AÇU,RN,5° 35' 42'' S,36° 57' 39'' W,111,VFR Diurno, 11/29,1500,14,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNUH,MG0054,PIUMHI,PIUMHI,MG,20° 26' 20'' S,45° 59' 32'' W,751,VFR Diurno, 07/25,1148,30,PCN 14/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNUI,MG0045,ARAÇUAÍ,ARAÇUAÍ,MG,16° 51' 7'' S,42° 2' 46'' W,360,VFR Diurno, 09/27,1200,30,PCN 10/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNUN,MG0055,UNAÍ,UNAÍ,MG,16° 21' 14'' S,46° 55' 37'' W,609,VFR Diurno, 17/35,1100,30,PCN 10/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNUT,BA0017,UTINGA,UTINGA,BA,12° 6' 20'' S,41° 4' 28'' W,598,VFR Diurno, 06/24,1420,20,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNVB,BA0008,VALENÇA,VALENÇA,BA,13° 17' 47'' S,38° 59' 33'' W,5,VFR Diurno/Noturno, 04/22,1800,30,PCN 55/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNVC,MG0074,VIÇOSA,VIÇOSA,MG,20° 44' 41'' S,42° 50' 31'' W,659,VFR Diurno, 17/35,900,30,"5000 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNVD,BA0050,SANTA MARIA DA VITÓRIA,SANTA MARIA DA VITÓRIA,BA,13° 24' 17'' S,44° 13' 23'' W,465,VFR Diurno, 10/28,1200,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNVI,MG0035,MELLO VIANA,TRÊS CORAÇÕES,MG,21° 47' 21'' S,45° 16' 5'' W,976,VFR Diurno, 04/22,1400,23,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNVS,PA0015,BREVES,BREVES,PA,1° 38' 11'' S,50° 26' 36'' W,30,VFR Diurno, 07/25,1600,30,PCN 27/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNWC,CE0011,CAMOCIM,CAMOCIM,CE,2° 53' 45'' S,40° 51' 32'' W,14,VFR Diurno/Noturno, 14/32,1200,30,PCN 14/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNWS,CE0005,CRATEÚS,CRATEÚS,CE,5° 12' 40'' S,40° 42' 15'' W,315,VFR Diurno/Noturno, 08/26,1500,30,PCN 12/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNXB,MG0025,CAXAMBU,CAXAMBU,MG,21° 55' 3'' S,44° 58' 10'' W,865,VFR Diurno/Noturno, 09/27,1500,30,PCN 8/F/C/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNXQ,BA0018,XIQUE-XIQUE,XIQUE-XIQUE,BA,10° 50' 3'' S,42° 41' 0'' W,427,VFR Diurno, 13/31,1420,20,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNYA,PA0024,ALMEIRIM,ALMEIRIM,PA,1° 28' 45'' S,52° 34' 41'' W,178,VFR Diurno, 06/24,1200,30,PCN 7/F/B/Y/U,Piçarra,,,,,,,,,,,,,,,,,,,,,,,,
SNYB,MG0047,TITO TEIXEIRA,ITUIUTABA,MG,19° 0' 7'' S,49° 29' 14'' W,605,VFR Diurno, 03/21,1200,30,PCN 8/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNYE,MA0004,PINHEIRO,PINHEIRO,MA,2° 28' 39'' S,45° 6' 18'' W,20,VFR Diurno, 09/27,1740,30,PCN 29/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNYT,BA0014,ITUAÇU,ITUAÇU,BA,13° 49' 43'' S,41° 18' 8'' W,535,VFR Diurno, 03/21,1500,30,PCN 10/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNYU,MG0014,ITURAMA,ITURAMA,MG,19° 43' 2'' S,50° 13' 13'' W,475,VFR Diurno/Noturno, 18/36,1550,30,PCN 10/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNZA,MG0038,POUSO ALEGRE,POUSO ALEGRE,MG,22° 17' 20'' S,45° 55' 10'' W,885,VFR Diurno, 01/19,1220,30,PCN 7/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNZR,MG0026,PEDRO RABELO DE SOUZA,PARACATU,MG,17° 14' 35'' S,46° 52' 53'' W,730,VFR Diurno, 11/29,1500,30,PCN 11/F/C/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNZW,BA0063,ITUBERÁ,ITUBERÁ,BA,13° 43' 54'' S,39° 8' 26'' W,7,VFR Diurno, 10/28,850,20,PCN 6/F/B/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SSAB,PR0024,MOISÉS LUPION,IBAITI,PR,23° 45' 47'' S,50° 15' 53'' W,600,VFR Diurno, 05/23,1200,18,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSAE,RS0040,ARROIO GRANDE,ARROIO GRANDE,RS,32° 13' 45'' S,53° 3' 21'' W,49,VFR Diurno, 06/24,1000,18,"5700 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SSAK,RS0048,CARLOS RUHL,CRUZ ALTA,RS,28° 39' 28'' S,53° 36' 38'' W,470,VFR Diurno, 04/22,800,60,"2500 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSAN,PR0032,JOÃO GALDINO,ANDIRÁ,PR,23° 1' 37'' S,50° 13' 42'' W,490,VFR Diurno, 09/27,1000,23,"5600 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSAP,PR0014,CAPITÃO JOÃO BUSSE,APUCARANA,PR,23° 36' 44'' S,51° 23' 6'' W,800,VFR Diurno/Noturno, 10/28,1400,30,PCN 9/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSAQ,RS0036,AEROCLUBE DE PASSO FUNDO,PASSO FUNDO,RS,28° 15' 2'' S,52° 31' 0'' W,600,VFR Diurno, 15/33,1080,35,"5700 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSBL,SC0019,BLUMENAU,BLUMENAU,SC,26° 49' 58'' S,49° 5' 37'' W,18,VFR Diurno, 18/36,1080,30,PCN 17/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSBN,RS0002,BELÉM NOVO,PORTO ALEGRE,RS,30° 11' 21'' S,51° 10' 57'' W,5,VFR Diurno, 09/27,1103,23,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSBR,PR0022,YARA,BANDEIRANTES,PR,23° 4' 22'' S,50° 25' 23'' W,402,VFR Diurno, 14/32,1300,100,PCN 8/F/C/Y/U,Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SSBV,MS0011,BELA VISTA,BELA VISTA,MS,22° 4' 56'' S,56° 32' 18'' W,235,VFR Diurno, 03/21,1300,23,PCN 10/F/B/Y/T,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SSCB,SP0044,MUNICIPAL DE CASA BRANCA,CASA BRANCA,SP,21° 47' 17'' S,47° 3' 20'' W,712,VFR Diurno, 09/27,1154,20,"5700 kg / 0,5 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SSCD,MS0007,CHAPADÃO DO SUL,CHAPADÃO DO SUL,MS,18° 50' 21'' S,52° 29' 17'' W,817,VFR Diurno/Noturno, 05/23,2000,30,PCN 30/F/C/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSCI,MS0012,COXIM,COXIM,MS,18° 28' 53'' S,54° 42' 57'' W,292,VFR Diurno, 02/20,1300,23,PCN 13/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSCK,SC0010,OLAVO CECCO RIGON,CONCÓRDIA,SC,27° 10' 50'' S,52° 3' 4'' W,750,VFR Diurno/Noturno, 14/32,1480,18,PCN 12/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SNPU,MG0073,PARAGUAÇU,PARAGUAÇU,MG,21° 33' 41'' S,45° 45' 17'' W,898,VFR Diurno, 07/25,900,30,PCN 8/F/C/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SSCN,RS0019,CANELA,CANELA,RS,29° 22' 14'' S,50° 49' 56'' W,837,VFR Diurno/Noturno, 06/24,1260,18,PCN 21/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSCP,PR0015,FRANCISCO LACERDA JÚNIOR,CORNÉLIO PROCÓPIO,PR,23° 9' 9'' S,50° 36' 9'' W,567,VFR Diurno, 06/24,1400,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSCR,PR0016,RUBEN BERTA,MARECHAL CÂNDIDO RONDON,PR,24° 30' 46'' S,54° 3' 14'' W,525,VFR Diurno, 01/19,1400,30,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSCT,PR0025,ENGENHEIRO GASTÃO DE MESQUITA FILHO,CIANORTE,PR,23° 41' 30'' S,52° 38' 32'' W,539,VFR Diurno/Noturno, 04/22,1200,23,"5700 kg / 0,62 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSEE,RS0054,REGIONAL DO VALE DO TAQUARI,ESTRELA,RS,29° 27' 12'' S,51° 56' 3'' W,32,VFR Diurno, 06/24,570,18,"4000 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSEP,RS0031,SÃO SEPÉ,SÃO SEPÉ,RS,30° 10' 56'' S,53° 34' 46'' W,153,VFR Diurno, 14/32,1140,18,"5700 kg / 0,62 MPa",Terra,,,,,,,,,,,,,,,,,,,,,,,,
SSER,RS0018,ERECHIM,ERECHIM,RS,27° 39' 36'' S,52° 16' 34'' W,761,VFR Diurno/Noturno, 14/32,1280,30,PCN 11/F/B/X/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSEZ,RS0050,ESPUMOSO,ESPUMOSO,RS,28° 44' 17'' S,52° 51' 20'' W,390,VFR Diurno, 08/26,713,18,"2000 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSFB,PR0021,PAULO ABDALA,FRANCISCO BELTRÃO,PR,26° 3' 32'' S,53° 3' 48'' W,640,VFR Diurno/Noturno, 07/25,1340,30,PCN 11/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSFL,PI0006,JOÃO PEREIRA DOS SANTOS FILHO,FRONTEIRAS,PI,7° 6' 0'' S,40° 37' 42'' W,448,VFR Diurno/Noturno, 11/29,1500,25,PCN 7/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSGA,RS0020,GARIBALDI,GARIBALDI,RS,29° 16' 6'' S,51° 31' 56'' W,680,VFR Diurno, 15/33,1200,30,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSGB,PR0035,MUNICIPAL DE GUARATUBA,GUARATUBA,PR,25° 52' 50'' S,48° 36' 44'' W,15,VFR Diurno, 01/19,990,18,"2500 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSGW,PR0037,MANOEL RIBAS,GOIOERÊ,PR,24° 13' 11'' S,53° 2' 38'' W,491,VFR Diurno, 05/23,799,18,PCN 8/F/B/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSGY,PR0023,GUAÍRA,GUAÍRA,PR,24° 4' 47'' S,54° 11' 17'' W,271,VFR Diurno, 07/25,1300,30,PCN 13/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSHZ,RS0037,WALTER BÜNDCHEN,HORIZONTINA,RS,27° 38' 18'' S,54° 20' 20'' W,310,VFR Diurno, 16/34,1050,18,PCN 6/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSIE,MS0002,TERUEL IPANEMA ESTÂNCIA,CAMPO GRANDE,MS,20° 36' 14'' S,54° 35' 43'' W,528,VFR Diurno, 06/24,1500,30,"5700 kg / 0,5 MPa",Cascalho,,,,,,,,,,,,,,,,,,,,,,,,
SSIJ,RS0032,IJUÍ,IJUÍ,RS,28° 22' 7'' S,53° 50' 47'' W,365,VFR Diurno/Noturno, 18/36,1280,23,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSIQ,RS0045,ITAQUI,ITAQUI,RS,29° 10' 19'' S,56° 32' 18'' W,84,VFR Diurno, 15/33,966,23,"1800 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSIR,RS0049,IBIRUBÁ,IBIRUBÁ,RS,28° 36' 15'' S,53° 4' 43'' W,457,VFR Diurno, 11/29,760,18,"5000 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSJA,SC0014,SANTA TEREZINHA,JOAÇABA,SC,27° 10' 22'' S,51° 33' 6'' W,776,VFR Diurno/Noturno, 15/33,1260,18,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSJI,MS0019,JARDIM,JARDIM,MS,21° 29' 34'' S,56° 9' 10'' W,321,VFR Diurno, 18/36,950,18,PCN 8/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSJK,RS0028,JÚLIO DE CASTILHOS,JÚLIO DE CASTILHOS,RS,29° 9' 11'' S,53° 44' 36'' W,498,VFR Diurno, 12/30,1190,30,PCN 8/F/C/Y/U,Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSKG,MS0003,ESTÂNCIA SANTA MARIA,CAMPO GRANDE,MS,20° 30' 20'' S,54° 31' 29'' W,618,VFR Diurno, 06/24,1500,23,"5600 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSKK,RS0052,CAPÃO DA CANOA,CAPÃO DA CANOA,RS,29° 45' 49'' S,50° 2' 13'' W,10,VFR Diurno, 08/26,700,27,"2500 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSKM,PR0017,CAMPO MOURÃO,CAMPO MOURÃO,PR,24° 0' 9'' S,52° 21' 25'' W,574,VFR Diurno/Noturno, 02/20,1370,30,PCN 14/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSKS,RS0039,CACHOEIRA DO SUL,CACHOEIRA DO SUL,RS,30° 0' 8'' S,52° 56' 25'' W,77,VFR Diurno, 12/30,1020,18,PCN 10/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSKU,SC0016,LAURO ANTÔNIO DA COSTA,CURITIBANOS,SC,27° 17' 14'' S,50° 36' 14'' W,978,VFR Diurno/Noturno, 11/29,1400,30,PCN 22/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSKW,RO0004,CACOAL,CACOAL,RO,11° 29' 44'' S,61° 27' 3'' W,249,VFR Diurno/Noturno, 16/34,2100,45,PCN 31/F/A/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSKZ,RS0009,CARAZINHO,CARAZINHO,RS,28° 19' 17'' S,52° 48' 56'' W,565,VFR Diurno/Noturno, 11/29,1560,30,PCN 12/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSLG,RS0021,SÃO LUIZ GONZAGA,SÃO LUIZ GONZAGA,RS,28° 22' 35'' S,55° 2' 15'' W,200,VFR Diurno, 06/24,1200,60,PCN 8/F/C/Y/U,Saibro,,,,,,,,,,,,,,,,,,,,,,,,
SSLN,SC0018,LONTRAS,LONTRAS,SC,27° 9' 35'' S,49° 32' 34'' W,334,VFR Diurno, 07/25,1100,23,PCN 10/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSLO,PR0031,ATTILLIO ACCORSI,LOANDA,PR,22° 55' 4'' S,53° 8' 59'' W,470,VFR Diurno, 05/23,1100,23,PCN 14/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSLS,BA0035,RUY BARBOSA,RUY BARBOSA,BA,12° 16' 17'' S,40° 31' 50'' W,404,VFR Diurno, 13/31,1268,22,"5700 kg / 0,6 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSLT,RS0022,GAUDÊNCIO MACHADO RAMOS,ALEGRETE,RS,29° 48' 45'' S,55° 53' 36'' W,140,VFR Diurno, 14/32,1200,18,PCN 6/F/B/X/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSMJ,MS0020,MARACAJU,MARACAJU,MS,21° 38' 2'' S,55° 8' 42'' W,390,VFR Diurno, 01/19,800,30,"5600 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSMR,PR0026,MANOEL RIBAS,MANOEL RIBAS,PR,24° 31' 46'' S,51° 39' 6'' W,886,VFR Diurno, 17/35,1200,30,PCN 12/F/C/Y/U,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSMT,RS0044,MOSTARDAS,MOSTARDAS,RS,31° 6' 15'' S,50° 54' 44'' W,18,VFR Diurno, 05/23,975,18,"5700 kg / 0,5 MPa",Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSNB,MS0015,ARIOSTO DA RIVA,NAVIRAÍ,MS,23° 2' 29'' S,54° 11' 6'' W,405,VFR Diurno, 09/27,1200,23,PCN 10/F/B/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
SSNG,RS0046,MONTENEGRO,MONTENEGRO,RS,29° 43' 11'' S,51° 29' 20'' W,24,VFR Diurno, 13/31,920,23,"5700 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSNH,RS0023,NOVO HAMBURGO,NOVO HAMBURGO,RS,29° 41' 57'' S,51° 4' 55'' W,15,VFR Diurno, 02/20,870,30,"5700 kg / 0,5 MPa",Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSNP,RS0041,NOVA PRATA,NOVA PRATA,RS,28° 48' 9'' S,51° 36' 15'' W,690,VFR Diurno, 13/31,1000,30,PCN 5/F/B/Y/U,Terra,,,,,,,,,,,,,,,,,,,,,,,,
SSNQ,MS0016,NIOAQUE,NIOAQUE,MS,21° 11' 5'' S,55° 49' 49'' W,300,VFR Diurno, 18/36,1200,60,PCN 8/F/C/Y/U,Grama,,,,,,,,,,,,,,,,,,,,,,,,
SSOE,SC0015,HÉLIO WASUM,SÃO MIGUEL DO OESTE,SC,26° 46' 52'' S,53° 30' 12'' W,665,VFR Diurno/Noturno, 17/35,1260,18,PCN 11/F/A/Y/T,Asfalto,,,,,,,,,,,,,,,,,,,,,,,,
